VCD info: dumpfile sm_core_tb.vcd opened for output.
============================================
  SM Core Testbench v1.2 â€” Starting
============================================

--- K1: Basic ALU (MOVI + ADD) ---
[PASS] T1: K1 R1=100  SP0.R1 = 0x0064
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=2 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C012] PC=7 dec=00000000 NOP      fv=1 | fstl=1 sb=0 exb=1 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=2 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C013] PC=7 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=2 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C014] PC=8 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=2 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C015] PC=9 dec=c000b00d PBRA     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C016] PC=10 dec=98550064 ADDI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=1 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=1 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C017] PC=11 dec=b800000d BRA      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0111 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=1 rD=0 | stk_sp=1 tos_rpc=13 tos_ph=0
  [C018] PC=12 dec=9855000a ADDI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0111 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=1 tos_rpc=13 tos_ph=0
  [C019] PC=13 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0111 stk_e=0 conv=10 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=0
  [C020] PC=9 dec=0850012c ST       fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1000 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C021] PC=10 dec=98550064 ADDI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1000 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C022] PC=11 dec=b800000d BRA      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1000 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C023] PC=12 dec=9855000a ADDI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=1 | mask=1000 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=0111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C024] PC=13 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1000 stk_e=0 conv=01 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C025] PC=14 dec=0850012c ST       fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C026] PC=15 dec=c8000000 RET      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=1000 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C027] PC=16 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C028] PC=16 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C029] PC=16 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C030] PC=16 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C031] PC=16 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C032] PC=16 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C033] PC=16 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=1
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
[PASS] T313: K37 SP0 R5=21+10  SP0.R5 = 0x001f
[PASS] T314: K37 SP1 R5=21+10  SP1.R5 = 0x001f
[PASS] T315: K37 SP2 R5=21+10  SP2.R5 = 0x001f
[PASS] T316: K37 SP3 R5=21+100  SP3.R5 = 0x0079
[PASS] T317: K37 SP0 DMEM=31  SP0.DMEM[300] = 0x001f
[PASS] T318: K37 SP1 DMEM=31  SP1.DMEM[301] = 0x001f
[PASS] T319: K37 SP2 DMEM=31  SP2.DMEM[302] = 0x001f
[PASS] T320: K37 SP3 DMEM=121  SP3.DMEM[303] = 0x0079
  K37 post-exec RF dump:
  RF dump       R0     R1     R2     R3     R4     R5     R6     R7   
       SP0:   0000  0003  0007  0000  0000  001f  0000  0000 
       SP1:   0001  0003  0007  0000  0000  001f  0000  0000 
       SP2:   0002  0003  0007  0000  0000  001f  0000  0000 
       SP3:   0003  0003  0007  0000  0000  0079  0000  0000 
  K37 scoreboard pending: [0]=0000 [1]=0000 [2]=0000 [3]=0000

--- K38: SET instruction unit test ---
  Program listing:
    [ 0] 2010aaaa  MOVI    R1, 43690 (0xaaaa)
    [ 1] 2020bbbb  MOVI    R2, 48059 (0xbbbb)
    [ 2] d0000001  SET     P0, 1
    [ 3] 00000000  NOP
    [ 4] 00000000  NOP
    [ 5] 00000000  NOP
    [ 6] b0312000  SELP    R3, R1, R2 (P0)
    [ 7] d0000000  SET     P0, 0
    [ 8] 00000000  NOP
    [ 9] 00000000  NOP
    [10] 00000000  NOP
    [11] b0412000  SELP    R4, R1, R2 (P0)
    [12] d0100001  SET     P1, 1
    [13] 00000000  NOP
    [14] 00000000  NOP
    [15] 00000000  NOP
    [16] b1512000  SELP    R5, R1, R2 (P1)
    [17] c8000000  RET
[PASS] T321: K38 SET P0=1 Sÿÿÿâÿ’R1  SP0.R3 = 0xaaaa
[PASS] T322: K38 SET P0=1 Sÿÿÿâÿ’R1  SP1.R3 = 0xaaaa
[PASS] T323: K38 SET P0=1 Sÿÿÿâÿ’R1  SP2.R3 = 0xaaaa
[PASS] T324: K38 SET P0=1 Sÿÿÿâÿ’R1  SP3.R3 = 0xaaaa
[PASS] T325: K38 SET P0=0 Sÿÿÿâÿ’R2  SP0.R4 = 0xbbbb
[PASS] T326: K38 SET P0=0 Sÿÿÿâÿ’R2  SP1.R4 = 0xbbbb
[PASS] T327: K38 SET P0=0 Sÿÿÿâÿ’R2  SP2.R4 = 0xbbbb
[PASS] T328: K38 SET P0=0 Sÿÿÿâÿ’R2  SP3.R4 = 0xbbbb
[PASS] T329: K38 SET P1=1 Sÿÿÿâÿ’R1  SP0.R5 = 0xaaaa
[PASS] T330: K38 SET P1=1 Sÿÿÿâÿ’R1  SP1.R5 = 0xaaaa
[PASS] T331: K38 SET P1=1 Sÿÿÿâÿ’R1  SP2.R5 = 0xaaaa
[PASS] T332: K38 SET P1=1 Sÿÿÿâÿ’R1  SP3.R5 = 0xaaaa

============================================
  SM Core Testbench v1.3 â€” Summary
  PASSED: 332
  FAILED: 0
  TOTAL:  332
============================================
>>> ALL TESTS PASSED <<<
../tb/sm_core_tb.v:1520: $finish called at 17108000 (1ps)
